time;I(D5);P(D5);
0.001105;-0.00484969;0.0229712;
0.001107;-0.00484963;0.0229709;
0.001109;-0.00484968;0.0229712;
0.001111;-0.00484964;0.0229709;
0.001113;-0.00484968;0.0229711;
0.001115;-0.00484964;0.022971;
0.001117;-0.00484967;0.0229711;
0.001119;-0.00484965;0.022971;
0.001121;-0.00484967;0.0229711;
0.001123;-0.00484965;0.022971;
0.001125;-0.00484967;0.0229711;
0.0011252;-0.00484966;0.022971;
0.0011256;-0.00484964;0.0229709;
0.0011264;-0.00484956;0.0229706;
0.001127;-0.00484948;0.0229702;
0.00112716;-0.00484951;0.0229703;
0.00112748;-0.00484951;0.0229703;
0.00112791;-0.00477932;0.0226355;
0.00112829;-0.00471125;0.0223108;
0.00112851;-0.00482043;0.0228316;
0.00112872;-0.00481468;0.0228042;
0.00112897;-0.00480776;0.0227711;
0.0011292;-0.00481044;0.022784;
0.00112957;-0.00480947;0.0227793;
0.00113033;-0.00481002;0.0227819;
0.00113183;-0.00480964;0.0227801;
0.00113383;-0.00480993;0.0227815;
0.00113583;-0.00480971;0.0227804;
0.00113783;-0.00480987;0.0227812;
0.00113983;-0.00480977;0.0227807;
0.00114183;-0.00480981;0.022781;
0.00114383;-0.00480982;0.022781;
0.00114583;-0.00480976;0.0227807;
0.00114783;-0.00480987;0.0227812;
0.00114983;-0.00480972;0.0227805;
0.00115183;-0.00480991;0.0227814;
0.00115383;-0.00480968;0.0227803;
0.00115583;-0.00480995;0.0227816;
0.00115783;-0.00480964;0.0227801;
0.00115983;-0.00480999;0.0227817;
0.00116183;-0.00480961;0.02278;
0.00116383;-0.00481002;0.0227819;
0.00116583;-0.00480958;0.0227798;
0.00116783;-0.00481004;0.022782;
0.00116983;-0.00480955;0.0227797;
0.00117183;-0.00481007;0.0227821;
