time;I(D4);I(D5);I(D6);I(D7);
0.000320792;0.0227796;-0.000202689;-4.36152e-12;-0.00222928;
0.000321792;0.0232212;-0.00965508;-4.36381e-12;-0.00226681;
0.000322792;0.022778;-0.000212743;-4.36153e-12;-0.0022294;
0.000323792;0.0232228;-0.0096397;-4.3638e-12;-0.00226669;
0.000324792;0.0227763;-0.00022289;-4.36154e-12;-0.00222952;
0.000325792;0.0232245;-0.00962431;-4.36379e-12;-0.00226658;
0.000326792;0.0227747;-0.00023313;-4.36155e-12;-0.00222962;
0.000327792;0.0232261;-0.00960921;-4.36378e-12;-0.00226648;
0.000328792;0.0227731;-0.000243438;-4.36156e-12;-0.00222973;
0.000329792;0.0232277;-0.00959419;-4.36377e-12;-0.00226637;
0.000330792;0.0227715;-0.000253814;-4.36157e-12;-0.00222983;
0.000331792;0.0232293;-0.00957925;-4.36376e-12;-0.00226627;
0.000332792;0.0227699;-0.00026402;-4.36157e-12;-0.00222994;
0.000333792;0.0232309;-0.00956442;-4.36375e-12;-0.00226616;
0.000334792;0.0227683;-0.000274563;-4.36158e-12;-0.00223004;
0.000335792;0.0232325;-0.00954967;-4.36374e-12;-0.00226606;
0.000336792;0.0227667;-0.000285144;-4.36159e-12;-0.00223014;
0.000337792;0.0232341;-0.00953503;-4.36374e-12;-0.00226597;
0.000338792;0.0227651;-0.000295759;-4.3616e-12;-0.00223023;
0.000339792;0.0232357;-0.00952047;-4.36373e-12;-0.00226587;
0.000340792;0.0227635;-0.000306405;-4.3616e-12;-0.00223032;
0.000341792;0.0232373;-0.00950605;-4.36372e-12;-0.00226578;
0.000342792;0.0227619;-0.000317104;-4.36161e-12;-0.00223042;
0.000343792;0.0232389;-0.00949167;-4.36371e-12;-0.00226569;
0.000344792;0.0227603;-0.000327803;-4.36162e-12;-0.00223051;
0.000345792;0.0232405;-0.00947739;-4.36371e-12;-0.0022656;
0.000346792;0.0227587;-0.00033852;-4.36162e-12;-0.00223059;
0.000347792;0.0232421;-0.0094632;-4.3637e-12;-0.00226551;
0.000348792;0.0227571;-0.000349254;-4.36163e-12;-0.00223068;
0.000349792;0.0232437;-0.0094491;-4.36369e-12;-0.00226542;
0.000350792;0.0227555;-0.000360003;-4.36164e-12;-0.00223077;
0.000351792;0.0232452;-0.00943508;-4.36369e-12;-0.00226534;
0.000352792;0.022754;-0.000370765;-4.36164e-12;-0.00223085;
0.000353792;0.0232468;-0.00942114;-4.36368e-12;-0.00226525;
0.000354792;0.0227524;-0.000381536;-4.36165e-12;-0.00223094;
0.000355792;0.0232484;-0.00940728;-4.36367e-12;-0.00226517;
0.000356792;0.0227508;-0.000392314;-4.36165e-12;-0.00223102;
0.000357792;0.0232499;-0.00939351;-4.36367e-12;-0.00226508;
0.000358792;0.0227493;-0.000403097;-4.36166e-12;-0.0022311;
